Quarter,Title,Course,Section,Program,Faculty,Schedule,Capacity,Building,Location
Spring 2025,Fixed Income Asset Pricing,35130,1,Full-Time MBA,John Heaton,"Tuesday, 8:30 AM - 11:30 AM",41/65,Harper Center,C10
Spring 2025,"Debt, Distress, and Restructuring",35214,1,Full-Time MBA,Amir Sufi,"Thursday, 1:30 PM - 4:30 PM",64/65,Harper Center,C04
Spring 2025,"Debt, Distress, and Restructuring",35214,81,Evening MBA,Amir Sufi,"Wednesday, 6:00 PM - 9:00 PM",37/65,Gleacher Center,308
Spring 2025,Accounting for Entrepreneurship:  From Start-Up through IPO,30121,85,Weekend MBA,Philip Berger,"Saturday, 9:00 AM - 12:00 PM",13/65,Gleacher Center,304
Autumn 2024,Financial Accounting,30000,7,Full-Time MBA,Amoray Riggs-Cragun,"Tuesday, 8:30 AM - 11:30 AM",65/65,Harper Center,C08
Autumn 2024,Financial Accounting,30000,8,Master in Management,Delphine Samuels,"Tuesday, 8:30 AM - 11:30 AM",52/65,Gleacher Center,204
Autumn 2024,Financial Accounting,30000,9,Master in Management,Delphine Samuels,"Tuesday, 1:30 PM - 4:30 PM",51/65,Gleacher Center,204
Autumn 2024,Navigating the ESG Landscape: Sustainability Information and Analysis,30133,1,Full-Time MBA,Christian Leuz,"Tuesday, 1:30 PM - 4:30 PM",60/65,Harper Center,C07
Autumn 2024,Navigating the ESG Landscape: Sustainability Information and Analysis,30133,2,Full-Time MBA,Christian Leuz,"Tuesday, 5:00 PM - 8:00 PM",45/65,Harper Center,C07
Autumn 2024,Accounting and Financial Analysis,30116,2,Master in Finance,Hans Christensen,"Wednesday, 8:30 AM - 11:30 AM",67/70,Gleacher Center,204
Autumn 2024,Accounting and Financial Analysis,30116,3,Master in Finance,Hans Christensen,"Wednesday, 1:30 PM - 4:30 PM",64/70,Gleacher Center,204
Autumn 2024,Managing in Organizations,38001,81,Evening MBA,Ann McGill,"Wednesday, 6:00 PM - 9:00 PM",56/65,,
Spring 2025,Managing in Organizations,38001,3,Full-Time MBA,Ayelet Fishbach,"Wednesday, 1:30 PM - 4:30 PM",62/65,Harper Center,C09
Spring 2025,Investments,35000,85,Weekend MBA,Niels Gormsen,"Saturday, 9:00 AM - 12:00 PM",60/65,,
Spring 2025,Investments,35000,3,Full-Time MBA,Quentin Vandeweyer,"Wednesday, 8:30 AM - 11:30 AM",58/65,Harper Center,C06
Spring 2025,Investments,35000,4,Full-Time MBA,Quentin Vandeweyer,"Thursday, 8:30 AM - 11:30 AM",30/65,Harper Center,C06
Spring 2025,Investments,35000,81,Evening MBA,Quentin Vandeweyer,"Thursday, 6:00 PM - 9:00 PM",31/65,Gleacher Center,208
Winter 2025,Investments,35000,81,Evening MBA,Michael Weber,"Monday, 6:00 PM - 9:00 PM",68/70,Gleacher Center,406
Autumn 2024,Investments,35000,4,Master in Finance,Bruce Carlin,"Monday, 8:30 AM - 11:30 AM",46/65,Gleacher Center,206
Autumn 2024,Investments,35000,5,Master in Finance,Bruce Carlin,"Tuesday, 8:30 AM - 11:30 AM",49/65,Gleacher Center,206
Winter 2025,Managerial Finance,35010,1,Master in Management,Pietro Veronesi,"Tuesday, 8:30 AM - 11:30 AM",23/65,Harper Center,C01
Winter 2025,Corporation Finance,35200,3,Master in Finance,Anil Kashyap,"Thursday, 3:00 PM - 6:00 PM",32/65,Harper Center,C06
Winter 2025,Corporation Finance,35200,4,Master in Finance,Anil Kashyap,"Friday, 1:30 PM - 4:30 PM",53/65,Gleacher Center,206
Spring 2025,Arbitrage Investing,35124,1,Full-Time MBA,Mark Mitchell,"Monday, 10:10 AM - 11:30 AM Wednesday, 10:10 AM - 11:30 AM",32/65,Harper Center,C10
Winter 2025,Consumer Finance,35207,81,Evening MBA,Scott Nelson,"Thursday, 6:00 PM - 9:00 PM",23/65,Gleacher Center,208
Autumn 2024,Managerial Decision Modeling,36106,85,Weekend MBA,Varun Gupta,"Saturday, 9:00 AM - 12:00 PM",42/45,,
Winter 2025,Managerial Decision Modeling,36106,2,Full-Time MBA,Burhaneddin Sandikci,"Monday, 1:30 PM - 4:30 PM",32/45,Harper Center,C05
Autumn 2024,Behavioral and Institutional Finance,35215,85,Weekend MBA,Robert Vishny,"Saturday, 1:30 PM - 4:30 PM",52/65,Gleacher Center,404
Winter 2025,Competitive Strategy,42001,3,Master in Management,Milena Almagro,"Thursday, 1:30 PM - 4:30 PM",7/65,Gleacher Center,204
Spring 2025,Competitive Strategy,42001,2,Full-Time MBA,Jacob Leshno,"Tuesday, 1:30 PM - 4:30 PM",65/65,Harper Center,C04
Autumn 2024,Managerial Decision Making,38002,85,Weekend MBA,Reid Hastie,"Saturday, 1:30 PM - 4:30 PM",12/65,Gleacher Center,406
Winter 2025,Managerial Decision Making,38002,1,Full-Time MBA,Saurabh Bhargava,"Monday, 1:30 PM - 4:30 PM",65/65,Harper Center,C07
Winter 2025,Managerial Decision Making,38002,2,Full-Time MBA,Saurabh Bhargava,"Monday, 5:00 PM - 8:00 PM",18/65,Harper Center,C07
Spring 2025,Marketing Strategy,37000,81,Evening MBA,Berkeley Dietvorst,"Wednesday, 6:00 PM - 9:00 PM",19/65,Gleacher Center,208
Spring 2025,Marketing Strategy,37000,4,Master in Management,Berkeley Dietvorst,"Wednesday, 1:30 PM - 4:30 PM",11/65,Gleacher Center,208
Spring 2025,Marketing Strategy,37000,2,Full-Time MBA,Malika Korganbekova,"Thursday, 8:30 AM - 11:30 AM",21/65,Harper Center,C02
Spring 2025,Marketing Strategy,37000,3,Full-Time MBA,Malika Korganbekova,"Thursday, 1:30 PM - 4:30 PM",16/65,Harper Center,C02
