Quarter,Title,Course,Section,Program,Faculty,Schedule,Capacity,Building,Location
Winter 2025,Advanced Investments,35150,1,Full-Time MBA,Stefan Nagel,"Thursday, 8:30 AM - 11:30 AM",48/65,Harper Center,C02
Spring 2025,Applied Macroeconomics: Micro Data for Macro Models,33942,50,PhD,Chang-Tai Hsieh and Erik Hurst,"Monday, 1:30 PM - 4:30 PM",1/20,Harper Center,3A
Spring 2025,Market Design,33915,50,PhD,Eric Budish and Jacob Leshno,"Thursday, 9:00 AM - 12:00 PM",1/35,Harper Center,3B
Autumn 2024,Microeconomics Reading and Research Seminar,33903,50,PhD,Eric Budish and Matthew Notowidigdo and Eric Zwick,"Monday, 4:30 PM - 6:00 PM",4/22,Harper Center,3SW
Autumn 2024,Topics in Information Economics,33914,50,PhD,Emir Kamenica,"Tuesday, 9:00 AM - 12:00 PM",7/35,Harper Center,3B
Autumn 2024,Advanced Industrial Organization I,33921,50,PhD,Chad Syverson,"Thursday, 8:30 AM - 11:30 AM",26/35,Harper Center,3B
Autumn 2024,Private Equity Transactions,34305,1,Full-Time MBA,Stephen Ritchie,"Thursday, 3:00 PM - 6:00 PM",30/30,Harper Center,C06
Autumn 2024,Real Estate Lab: Real Estate Challenge,34704,81,Evening MBA,Joseph Pagliari,"Tuesday, 6:00 PM - 9:00 PM",14/15,Gleacher Center,308
Autumn 2024,Entrepreneurial Discovery,34705,2,Full-Time MBA,Mark Tebbe,"Wednesday, 1:30 PM - 4:30 PM",49/60,Harper Center,C25
Autumn 2024,Entrepreneurial Discovery,34705,1,Full-Time MBA,Mark Tebbe,"Monday, 1:30 PM - 4:30 PM",51/60,Harper Center,C25
Autumn 2024,Asset Pricing I,34901,50,PhD,Lars Hansen and John Heaton,"Monday, 8:30 AM - 9:50 AM Wednesday, 8:30 AM - 9:50 AM",18/35,Harper Center,3B
Autumn 2024,Corporate Finance I,34903,50,PhD,Douglas Diamond,"Monday, 3:00 PM - 6:00 PM",7/35,Harper Center,3B
Autumn 2024,Introductory Finance,35001,85,Weekend MBA,George Constantinides,"Saturday, 9:00 AM - 12:00 PM",26/65,Gleacher Center,404
Autumn 2024,Introductory Finance,35001,1,Full-Time MBA,George Constantinides,"Thursday, 8:30 AM - 11:30 AM",30/65,Harper Center,C09
Autumn 2024,Introductory Finance,35001,81,Evening MBA,George Constantinides,"Thursday, 6:00 PM - 9:00 PM",19/65,Gleacher Center,306
Autumn 2024,Research Seminar,35930,50,PhD,Stefan Nagel and Pascal Noel and Anthony Zhang,"Tuesday, 8:30 AM - 11:30 AM",3/22,Harper Center,3SW
Autumn 2024,Research Seminar,35930,1,PhD,Joseph Vavra,"Wednesday, 10:30 AM - 11:50 AM",8/65,,
Autumn 2024,Digital Marketing,37301,81,Evening MBA,Lil Mohan,"Friday, 6:00 PM - 9:00 PM",42/65,Gleacher Center,206
Autumn 2024,Digital Marketing Lab,37703,85,Weekend MBA,Lil Mohan,"Saturday, 1:30 PM - 4:30 PM",30/40,Gleacher Center,206
Winter 2025,Ethics of Business,38115,85,Weekend MBA,John Rollert,"Saturday, 1:30 PM - 4:30 PM",51/65,Gleacher Center,308
Autumn 2024,Behavioral Economics - Development & Observational Data,38916,50,PhD,Joshua Dean and Devin Pope,"Tuesday, 1:30 PM - 4:30 PM",14/35,Harper Center,3B
Winter 2025,Healthcare Analytics Lab,40721,1,Full-Time MBA,Dan Adelman,"Wednesday, 8:30 AM - 11:30 AM",15/35,Booth 455,132
Winter 2025,Financial Econometrics,41203,81,Evening MBA,Jeffrey Russell,"Wednesday, 6:00 PM - 9:00 PM",29/65,Gleacher Center,204
Autumn 2024,Probability and Statistics,41901,50,PhD,Tetsuya Kaji,"Friday, 1:30 PM - 4:30 PM",39/65,Harper Center,C04
Winter 2025,Time-series Analysis for Forecasting and Model Building,41910,50,PhD,Jeffrey Russell,"Friday, 1:30 PM - 4:30 PM",60/65,Harper Center,C09
Autumn 2024,"Bayes, AI and Deep Learning",41916,50,PhD,Nicholas Polson,"Thursday, 8:30 AM - 11:30 AM",17/22,Harper Center,3SW
Autumn 2024,Arts Leadership: Exemplary is Not Enough,42126,1,Full-Time MBA,Mary Ittelson,"Tuesday, 1:30 PM - 4:30 PM",25/40,Harper Center,C08
Autumn 2024,The Legal Infrastructure of Business,42201,85,Weekend MBA,Randal Picker,"Saturday, 1:30 PM - 4:30 PM",42/65,Gleacher Center,306
Autumn 2024,The Legal Infrastructure of Business,42201,81,Evening MBA,Randal Picker,"Wednesday, 6:00 PM - 9:00 PM",57/65,Gleacher Center,204
Autumn 2024,Accounting and Financial Analysis,30116,1,Full-Time MBA,Hans Christensen,"Tuesday, 8:30 AM - 11:30 AM",70/70,Harper Center,C06
Winter 2025,Advanced Financial Analysis and Valuation for Global Firms,30131,1,Full-Time MBA,Charles McClure,"Wednesday, 1:30 PM - 4:30 PM",70/70,Harper Center,C05
Winter 2025,Advanced Financial Analysis and Valuation for Global Firms,30131,2,Full-Time MBA,Charles McClure,"Wednesday, 5:00 PM - 8:00 PM",61/70,Harper Center,C05
Winter 2025,Business in Historical Perspective,33112,1,Full-Time MBA,Richard Hornbeck,"Monday, 8:30 AM - 11:30 AM",65/65,Harper Center,C02
Winter 2025,Business in Historical Perspective,33112,2,Full-Time MBA,Richard Hornbeck,"Monday, 1:30 PM - 4:30 PM",65/65,Harper Center,C02
Spring 2025,Money and Banking,33401,1,Full-Time MBA,Randall Kroszner,"Tuesday, 1:30 PM - 4:30 PM",70/70,Harper Center,C10
Spring 2025,Money and Banking,33401,81,Evening MBA,Randall Kroszner,"Tuesday, 6:00 PM - 9:00 PM",67/70,Gleacher Center,406
Spring 2025,Money and Banking,33401,2,Full-Time MBA,Randall Kroszner,"Wednesday, 1:30 PM - 4:30 PM",70/70,Harper Center,C10
Winter 2025,Real Estate Investments I,33450,1,Full-Time MBA,Joseph Pagliari,"Thursday, 1:30 PM - 4:30 PM",52/65,Harper Center,C03
Winter 2025,Real Estate Investments I,33450,81,Evening MBA,Joseph Pagliari,"Thursday, 6:00 PM - 9:00 PM",49/65,Gleacher Center,308
Winter 2025,Real Estate Investments I,33450,85,Weekend MBA,Joseph Pagliari,"Saturday, 9:00 AM - 12:00 PM",52/65,,
Winter 2025,Microeconomics Reading and Research Seminar,33904,50,PhD,Eric Budish and Matthew Notowidigdo and Eric Zwick,"Monday, 4:45 PM - 6:15 PM",5/22,Harper Center,3SW
Winter 2025,Advanced Industrial Organization II,33922,50,PhD,Ali Hortacsu,"Tuesday, 12:30 PM - 1:50 PM Thursday, 12:30 PM - 1:50 PM",8/30,,
Autumn 2024,Building the New Venture,34103,1,Full-Time MBA,Scott Metcalf,"Tuesday, 8:30 AM - 11:30 AM",42/45,Harper Center,C05
Autumn 2024,Entrepreneurship through Acquisition,34302,1,Full-Time MBA,Keith Burns and Michael Curry,"Tuesday, 1:30 PM - 4:30 PM",64/65,Harper Center,C01
Winter 2025,Entrepreneurship through Acquisition,34302,1,Full-Time MBA,Mark Agnew and Brian O'Connor,"Tuesday, 1:30 PM - 4:30 PM",65/65,Harper Center,C25
Winter 2025,Lab to Launch,34709,1,Full-Time MBA,Jason Blumberg and Keith Crandell,"Friday, 8:30 AM - 11:30 AM",34/34,Harper Center,C08
Winter 2025,Asset Pricing II,34902,50,PhD,Ralph Koijen and Stefan Nagel,"Wednesday, 8:30 AM - 9:50 AM Friday, 8:30 AM - 9:50 AM",12/20,Harper Center,3A
Winter 2025,Corporate Finance II,34904,50,PhD,Amir Sufi,"Tuesday, 10:10 AM - 11:30 AM Thursday, 10:10 AM - 11:30 AM",6/22,Harper Center,3SW
Autumn 2024,Behavioral and Institutional Finance,35215,1,Full-Time MBA,Robert Vishny,"Thursday, 1:30 PM - 4:30 PM",64/65,Harper Center,C01
Winter 2025,Research Seminar,35931,50,PhD,Stefan Nagel and Pascal Noel and Anthony Zhang,"Tuesday, 8:30 AM - 11:30 AM",3/20,Harper Center,3A
Winter 2025,Research Seminar,35931,1,PhD,Joseph Vavra,"Wednesday, 10:30 AM - 11:50 AM",9/65,,
Winter 2025,Convex Optimization,36903,1,PhD,Staff Staff,"Monday, 1:30 PM - 2:50 PM Wednesday, 1:30 PM - 2:50 PM",42/60,,
Spring 2025,New Products and Services,37200,85,Weekend MBA,Craig Terrill,"Saturday, 1:30 PM - 4:30 PM",55/55,,
Winter 2025,Advanced Quantitative Marketing,37904,50,PhD,Jean-Pierre Dubé and Guenter Hitsch,"Monday, 1:30 PM - 4:30 PM",4/12,Harper Center,C50A
Winter 2025,Applied Bayesian Econometrics,37906,50,PhD,Sanjog Misra,"Thursday, 1:30 PM - 4:30 PM",4/20,Harper Center,3A
Autumn 2024,Persuasion: Effective Business Communication,38101,81,Evening MBA,Hal Weitzman,"Tuesday, 6:00 PM - 9:00 PM",23/36,Booth 455,132
Winter 2025,Persuasion: Effective Business Communication,38101,81,Evening MBA,Hal Weitzman,"Wednesday, 6:00 PM - 9:00 PM",30/36,Gleacher Center,308
Winter 2025,Designing a Good Life,38119,1,Full-Time MBA,Nicholas Epley,"Wednesday, 8:30 AM - 11:30 AM",65/65,Harper Center,C10
Winter 2025,Designing a Good Life,38119,81,Evening MBA,Nicholas Epley,"Tuesday, 6:00 PM - 9:00 PM",65/65,Gleacher Center,400
Winter 2025,The Study of Behavioral Economics,38120,1,Full-Time MBA,Devin Pope,"Monday, 1:30 PM - 4:30 PM",70/70,Harper Center,C10
Winter 2025,The Study of Behavioral Economics,38120,2,Full-Time MBA,Devin Pope,"Wednesday, 8:30 AM - 11:30 AM",70/70,Harper Center,C02
Autumn 2024,Technology Strategy,39101,81,Evening MBA,Marc Knez,"Monday, 6:00 PM - 9:00 PM",42/65,Gleacher Center,208
Spring 2025,Technology Strategy,39101,1,Full-Time MBA,Marc Knez,"Friday, 1:30 PM - 4:30 PM",48/65,Harper Center,C03
Spring 2025,Technology Strategy,39101,85,Weekend MBA,Marc Knez,"Saturday, 9:00 AM - 12:00 PM",25/65,Gleacher Center,208
Autumn 2024,Supply Chain Strategy and Practice,40101,1,Full-Time MBA,Nicole DeHoratius,"Monday, 1:30 PM - 4:30 PM",62/65,Harper Center,C06
Autumn 2024,Supply Chain Strategy and Practice,40101,81,Evening MBA,Nicole DeHoratius,"Monday, 6:00 PM - 9:00 PM",56/65,Gleacher Center,306
Winter 2025,Supply Chain Strategy and Practice,40101,1,Full-Time MBA,Levi DeValve,"Tuesday, 8:30 AM - 11:30 AM",65/65,Harper Center,C09
Winter 2025,Statistical Inference,41902,50,PhD,Dacheng Xiu,"Monday, 6:30 PM - 9:30 PM",43/65,Harper Center,C08
Winter 2025,Corporate Governance,42108,81,Evening MBA,Dennis Chookaszian,"Friday, 6:00 PM - 9:00 PM",64/65,Gleacher Center,200
Winter 2025,Corporate Governance,42108,1,Full-Time MBA,Dennis Chookaszian,"Friday, 1:30 PM - 4:30 PM",48/65,Harper Center,C08
Autumn 2024,Merger & Acquisition Strategy,42121,81,Evening MBA,Stephen Morrissette,"Wednesday, 6:00 PM - 9:00 PM",67/70,Gleacher Center,300
Winter 2025,Merger & Acquisition Strategy,42121,81,Evening MBA,Stephen Morrissette,"Wednesday, 6:00 PM - 9:00 PM",68/70,Gleacher Center,200
Autumn 2024,Social Sector Strategy and Structure,42125,81,Evening MBA,Christina Hachikian,"Monday, 6:00 PM - 9:00 PM",35/65,Gleacher Center,304
Autumn 2024,Taxes and Business Strategy,30118,1,Full-Time MBA,Merle Erickson,"Thursday, 1:30 PM - 4:30 PM",53/65,Harper Center,C09
Winter 2025,Taxes and Business Strategy,30118,1,Full-Time MBA,Ira Weiss,"Tuesday, 1:30 PM - 4:30 PM",70/70,Harper Center,C04
Winter 2025,Taxes and Business Strategy,30118,81,Evening MBA,Ira Weiss,"Tuesday, 6:00 PM - 9:00 PM",66/70,Gleacher Center,406
Spring 2025,Taxes and Business Strategy,30118,1,Full-Time MBA,Anthony Welsch,"Wednesday, 1:30 PM - 4:30 PM",65/65,Harper Center,C08
Autumn 2024,Accounting for Entrepreneurship:  From Start-Up through IPO,30121,1,Full-Time MBA,Ira Weiss,"Tuesday, 1:30 PM - 4:30 PM",55/65,Harper Center,C09
Autumn 2024,Accounting for Entrepreneurship:  From Start-Up through IPO,30121,2,Full-Time MBA,Ira Weiss,"Wednesday, 8:30 AM - 11:30 AM",60/65,Harper Center,C09
Autumn 2024,Accounting for Entrepreneurship:  From Start-Up through IPO,30121,81,Evening MBA,Ira Weiss,"Tuesday, 6:00 PM - 9:00 PM",52/65,Gleacher Center,408
Autumn 2024,Accounting for Entrepreneurship:  From Start-Up through IPO,30121,85,Weekend MBA,Ira Weiss,"Saturday, 1:30 PM - 4:30 PM",28/65,Gleacher Center,408
Spring 2025,Accounting for Entrepreneurship:  From Start-Up through IPO,30121,2,Full-Time MBA,Philip Berger,"Wednesday, 5:00 PM - 8:00 PM",31/65,Harper Center,C06
Spring 2025,Accounting for Entrepreneurship:  From Start-Up through IPO,30121,1,Full-Time MBA,Philip Berger,"Wednesday, 1:30 PM - 4:30 PM",65/65,Harper Center,C06
Autumn 2024,Financial Statement Analysis,30130,81,Evening MBA,Michael Minnis,"Wednesday, 6:00 PM - 9:00 PM",69/70,Gleacher Center,304
Autumn 2024,Financial Statement Analysis,30130,1,Full-Time MBA,Michael Minnis,"Wednesday, 1:30 PM - 4:30 PM",70/70,Harper Center,C09
Winter 2025,Financial Statement Analysis,30130,81,Evening MBA,Abbie Smith,"Tuesday, 6:00 PM - 9:00 PM",70/70,Gleacher Center,306
Winter 2025,Financial Statement Analysis,30130,1,Full-Time MBA,Abbie Smith,"Monday, 5:00 PM - 8:00 PM",69/70,Harper Center,C06
Spring 2025,Financial Statement Analysis,30130,1,Full-Time MBA,John Hand,"Friday, 8:30 AM - 11:30 AM",64/65,Harper Center,C08
Autumn 2024,Workshop in Accounting Research,30600,60,Workshop (course type),Charles McClure and Amoray Riggs-Cragun,"Thursday, 1:20 PM - 2:50 PM",10/30,Harper Center,C06
Winter 2025,Workshop in Accounting Research,30600,60,Workshop (course type),Charles McClure and Amoray Riggs-Cragun,"Thursday, 1:20 PM - 2:50 PM",8/30,Harper Center,C06
Spring 2025,Workshop in Accounting Research,30600,60,Workshop (course type),Charles McClure and Amoray Riggs-Cragun,"Thursday, 1:20 PM - 2:50 PM",6/30,Harper Center,C06
Autumn 2024,Interpersonal Dynamics,31401,2,Full-Time MBA,Darryl Pure,"Tuesday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Autumn 2024,Interpersonal Dynamics,31401,3,Full-Time MBA,Britt Raphling,"Wednesday, 2:00 PM - 5:00 PM",12/12,Booth 455,140
Autumn 2024,Interpersonal Dynamics,31401,82,Evening MBA,Hugh Cole,"Tuesday, 6:00 PM - 9:00 PM",12/12,Gleacher Center,422
Autumn 2024,Interpersonal Dynamics,31401,4,Full-Time MBA,Christine Carpenter,"Wednesday, 8:30 AM - 11:30 AM",12/12,Harper Center,225
Autumn 2024,Interpersonal Dynamics,31401,81,Evening MBA,Britt Raphling,"Thursday, 6:00 PM - 9:00 PM",10/13,,
Autumn 2024,Interpersonal Dynamics,31401,1,Full-Time MBA,Darryl Pure,"Tuesday, 8:30 AM - 11:30 AM",12/12,Harper Center,225
Autumn 2024,Interpersonal Dynamics,31401,5,Full-Time MBA,Christine Carpenter,"Wednesday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Autumn 2024,Interpersonal Dynamics,31401,6,Full-Time MBA,Lisa Stefanac,"Monday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Winter 2025,Interpersonal Dynamics,31401,5,Full-Time MBA,Christine Carpenter,"Wednesday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Winter 2025,Interpersonal Dynamics,31401,82,Evening MBA,Hugh Cole,"Tuesday, 6:00 PM - 9:00 PM",12/12,Gleacher Center,422
Winter 2025,Interpersonal Dynamics,31401,1,Full-Time MBA,Darryl Pure,"Tuesday, 8:30 AM - 11:30 AM",11/12,Harper Center,225
Winter 2025,Interpersonal Dynamics,31401,81,Evening MBA,Britt Raphling,"Thursday, 6:00 PM - 9:00 PM",10/12,,
Winter 2025,Interpersonal Dynamics,31401,4,Full-Time MBA,Christine Carpenter,"Wednesday, 8:30 AM - 11:30 AM",12/12,Harper Center,225
Winter 2025,Interpersonal Dynamics,31401,3,Full-Time MBA,Britt Raphling,"Wednesday, 2:00 PM - 5:00 PM",11/12,Booth 455,140
Winter 2025,Interpersonal Dynamics,31401,2,Full-Time MBA,Darryl Pure,"Tuesday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Winter 2025,Interpersonal Dynamics,31401,6,Full-Time MBA,Lisa Stefanac,"Monday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Winter 2025,Interpersonal Dynamics,31401,83,Evening MBA,Lisa Stefanac,"Monday, 6:00 PM - 9:00 PM",12/12,Gleacher Center,422
Winter 2025,Interpersonal Dynamics,31401,84,Evening MBA,Richard Volden,"Wednesday, 6:00 PM - 9:00 PM",12/12,Gleacher Center,422
Spring 2025,Interpersonal Dynamics,31401,2,Full-Time MBA,Darryl Pure,"Tuesday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Spring 2025,Interpersonal Dynamics,31401,3,Full-Time MBA,Britt Raphling,"Wednesday, 2:00 PM - 5:00 PM",12/12,Booth 455,140
Spring 2025,Interpersonal Dynamics,31401,82,Evening MBA,Hugh Cole,"Tuesday, 6:00 PM - 9:00 PM",12/12,Gleacher Center,422
Spring 2025,Interpersonal Dynamics,31401,4,Full-Time MBA,Christine Carpenter,"Wednesday, 8:30 AM - 11:30 AM",11/12,Harper Center,225
Spring 2025,Interpersonal Dynamics,31401,81,Evening MBA,Britt Raphling,"Thursday, 6:00 PM - 9:00 PM",13/13,,
Spring 2025,Interpersonal Dynamics,31401,1,Full-Time MBA,Darryl Pure,"Tuesday, 8:30 AM - 11:30 AM",12/12,Harper Center,225
Spring 2025,Interpersonal Dynamics,31401,83,Evening MBA,Lisa Stefanac,"Monday, 6:00 PM - 9:00 PM",12/12,Gleacher Center,422
Spring 2025,Interpersonal Dynamics,31401,5,Full-Time MBA,Christine Carpenter,"Wednesday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Spring 2025,Interpersonal Dynamics,31401,6,Full-Time MBA,Lisa Stefanac,"Monday, 1:30 PM - 4:30 PM",12/12,Harper Center,225
Spring 2025,Interpersonal Dynamics,31401,7,Full-Time MBA,Swati Bharteey-Buck,"Thursday, 2:00 PM - 5:00 PM",12/12,Booth 455,140
Autumn 2024,Leadership Practicum,31402,1,Full-Time MBA,Chris Collins,"Wednesday, 8:30 AM - 11:30 AM",24/40,Harper Center,C02
Autumn 2024,Leadership Studio,31403,85,Weekend MBA,Harry Davis and Nancy Tennant,"Saturday, 9:00 AM - 12:00 PM",30/30,Booth 455,132
Winter 2025,Leadership Studio,31403,1,Full-Time MBA,Harry Davis and Nancy Tennant,"Thursday, 1:30 PM - 4:30 PM",26/30,Harper Center,219
Spring 2025,Leadership Studio,31403,1,Full-Time MBA,Harry Davis and Nancy Tennant,"Wednesday, 1:30 PM - 4:30 PM",30/30,Harper Center,219
Spring 2025,Leadership Studio,31403,81,Evening MBA,Harry Davis and Nancy Tennant,"Tuesday, 6:00 PM - 9:00 PM",23/30,Booth 455,132
Spring 2025,Leadership Effectiveness and Development (LEAD) Lab,31702,1,Full-Time MBA,Robert Vishny,"Friday, 12:00 PM - 4:30 PM",35/40,Harper Center,C10
Autumn 2024,Accelerated Microeconomics,33002,1,Full-Time MBA,Jack Mountjoy,"Monday, 8:30 AM - 11:30 AM",22/65,Harper Center,C01
Autumn 2024,Accelerated Microeconomics,33002,2,Full-Time MBA,Jack Mountjoy,"Monday, 1:30 PM - 4:30 PM",57/65,Harper Center,C01
Autumn 2024,Accelerated Microeconomics,33002,81,Evening MBA,Jack Mountjoy,"Monday, 6:00 PM - 9:00 PM",18/65,Gleacher Center,308
Spring 2025,The Firm and the Non-Market Environment,33305,1,Full-Time MBA,Marianne Bertrand,"Thursday, 8:30 AM - 11:30 AM",70/70,Harper Center,C10
Spring 2025,The Firm and the Non-Market Environment,33305,2,Full-Time MBA,Marianne Bertrand,"Thursday, 1:30 PM - 4:30 PM",70/70,Harper Center,C10
Spring 2025,Real Estate Investments II,33451,81,Evening MBA,Joseph Pagliari,"Thursday, 6:00 PM - 9:00 PM",14/65,Gleacher Center,308
Winter 2025,"Business, Politics, and Ethics",33471,1,Full-Time MBA,Brian Barry,"Tuesday, 8:30 AM - 11:30 AM",42/42,Harper Center,C07
Winter 2025,"Business, Politics, and Ethics",33471,2,Full-Time MBA,Brian Barry,"Tuesday, 1:30 PM - 4:30 PM",42/42,Harper Center,C07
Winter 2025,International Financial Policy,33502,1,Full-Time MBA,Rohan Kekre,"Thursday, 1:30 PM - 4:30 PM",60/65,Harper Center,C02
Winter 2025,International Financial Policy,33502,81,Evening MBA,Rohan Kekre,"Wednesday, 6:00 PM - 9:00 PM",53/65,Gleacher Center,408
Autumn 2024,Applied Economics Workshop,33610,60,Workshop (course type),Canice Prendergast and Thomas Wollmann,"Wednesday, 1:20 PM - 2:50 PM",14/30,Harper Center,3B
Winter 2025,Applied Economics Workshop,33610,60,Workshop (course type),Marianne Bertrand and Emir Kamenica,"Wednesday, 1:20 PM - 2:50 PM",16/30,Harper Center,3B
Spring 2025,Applied Economics Workshop,33610,60,Workshop (course type),Eric Budish and Jack Mountjoy,"Wednesday, 1:20 PM - 2:50 PM",7/32,Harper Center,3B
Autumn 2024,Workshop in Macro and International Economics,33650,60,Workshop (course type),Kilian Huber,"Monday, 12:00 PM - 1:15 PM",5/30,Harper Center,C10
Winter 2025,Workshop in Macro and International Economics,33650,60,Workshop (course type),Guido Lorenzoni and Joseph Vavra,"Monday, 12:00 PM - 1:15 PM",5/30,Harper Center,C10
Spring 2025,Workshop in Macro and International Economics,33650,60,Workshop (course type),Rodrigo Adao,"Monday, 12:00 PM - 1:15 PM",1/30,Harper Center,C10
Spring 2025,Microeconomics Reading and Research Seminar,33905,50,PhD,Eric Budish and Matthew Notowidigdo and Eric Zwick,"Wednesday, 4:30 PM - 6:00 PM",4/20,Harper Center,3SW
Spring 2025,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),34104,1,Full-Time MBA,Steven Kaplan,"Monday, 1:30 PM - 4:30 PM",27/65,Harper Center,C08
Spring 2025,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),34104,81,Evening MBA,Mark Tebbe,"Monday, 6:00 PM - 9:00 PM",17/65,Gleacher Center,200
Autumn 2024,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,34106,81,Evening MBA,Scott Meadow,"Wednesday, 6:00 PM - 9:00 PM",53/55,Gleacher Center,308
Autumn 2024,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,34106,1,Full-Time MBA,Scott Meadow,"Thursday, 1:30 PM - 4:30 PM",55/55,Harper Center,C25
Spring 2025,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,34106,85,Weekend MBA,Scott Meadow,"Saturday, 9:00 AM - 12:00 PM",44/55,Gleacher Center,404
Spring 2025,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,34106,1,Full-Time MBA,Scott Meadow,"Friday, 8:30 AM - 11:30 AM",53/55,Harper Center,C09
Autumn 2024,Entrepreneurial Selling,34111,85,Weekend MBA,Michael Alter,"Saturday, 9:00 AM - 12:00 PM",52/65,Gleacher Center,408
Autumn 2024,Entrepreneurial Selling,34111,1,Full-Time MBA,Michael Alter,"Monday, 1:30 PM - 4:30 PM",56/65,Harper Center,C02
Spring 2025,Entrepreneurial Selling,34111,1,Full-Time MBA,Michael Alter,"Tuesday, 1:30 PM - 4:30 PM",70/70,Harper Center,C02
Spring 2025,Entrepreneurial Selling,34111,81,Evening MBA,Michael Alter,"Tuesday, 6:00 PM - 9:00 PM",35/65,Gleacher Center,206
Summer 2025,Entrepreneurial Selling,34111,81,Evening MBA,Michael Alter,"Monday, 6:00 PM - 9:00 PM",0/65,Gleacher Center,304
Spring 2025,New Social Ventures,34115,81,Evening MBA,Robert Gertner,"Tuesday, 6:00 PM - 9:00 PM",21/36,Booth 455,130
Spring 2025,New Social Ventures,34115,1,Full-Time MBA,Robert Gertner,"Tuesday, 2:00 PM - 5:00 PM",18/36,Booth 455,130
Winter 2025,"Women As CEOs, Entrepreneurs, Investors, Executives & Directors",34206,1,Full-Time MBA,Alyssa Rapp,"Wednesday, 1:30 PM - 4:30 PM",61/65,Harper Center,C09
Winter 2025,Private Equity/Venture Capital Lab,34702,82,Evening MBA,Jason Heltzer,"Monday, 6:00 PM - 9:00 PM",52/65,Gleacher Center,404
Winter 2025,Private Equity/Venture Capital Lab,34702,81,Evening MBA,Christopher McGowan,"Monday, 6:00 PM - 9:00 PM",46/65,Gleacher Center,400
Spring 2025,Private Equity/Venture Capital Lab,34702,82,Evening MBA,Jason Heltzer,"Monday, 6:00 PM - 9:00 PM",20/65,Gleacher Center,404
Spring 2025,Private Equity/Venture Capital Lab,34702,81,Evening MBA,Christopher McGowan,"Monday, 6:00 PM - 9:00 PM",26/65,Gleacher Center,400
Spring 2025,Portfolio Management,35120,1,Full-Time MBA,Lubos Pastor,"Monday, 8:30 AM - 11:30 AM",31/65,Harper Center,C01
Spring 2025,Portfolio Management,35120,2,Full-Time MBA,Lubos Pastor,"Monday, 1:30 PM - 4:30 PM",62/65,Harper Center,C01
Autumn 2024,Seminar:  Finance,35600,60,Workshop (course type),Scott Nelson and Julia Selgrad,"Tuesday, 1:20 PM - 2:50 PM",10/30,Harper Center,C03
Winter 2025,Seminar:  Finance,35600,60,Workshop (course type),Ralph Koijen and Amir Sufi,"Tuesday, 1:20 PM - 2:50 PM",7/30,Harper Center,C03
Spring 2025,Seminar:  Finance,35600,60,Workshop (course type),Taisiya Sikorskaya and Quentin Vandeweyer,"Tuesday, 1:20 PM - 2:50 PM",1/30,Harper Center,C03
Autumn 2024,Applied Theory Workshop,35601,60,Workshop (course type),Staff Staff,"Tuesday, 3:30 PM - 5:00 PM",2/30,,
Spring 2025,Applied Theory Workshop,35601,60,Workshop (course type),Staff Staff,"Tuesday, 3:30 PM - 5:00 PM",0/30,,
Spring 2025,Research Projects: Finance,35908,50,PhD,Eugene Fama,"Wednesday, 1:30 PM - 5:00 PM",3/18,,
Winter 2025,New Developments in Public Finance,35916,50,PhD,Peter Ganong and Pascal Noel and Eric Zwick,"Monday, 1:30 PM - 4:30 PM",13/20,Harper Center,3A
Spring 2025,Research Seminar,35932,50,PhD,Stefan Nagel and Pascal Noel and Anthony Zhang,"Tuesday, 8:30 AM - 11:30 AM",0/20,Harper Center,3A
Spring 2025,Research Seminar,35932,1,PhD,Joseph Vavra,"Wednesday, 10:30 AM - 11:50 AM",0/65,,
Autumn 2024,Managerial Decision Modeling,36106,1,Full-Time MBA,Varun Gupta,"Thursday, 8:30 AM - 11:30 AM",25/45,Harper Center,C02
Autumn 2024,Managerial Decision Modeling,36106,2,Full-Time MBA,Varun Gupta,"Thursday, 1:30 PM - 4:30 PM",39/45,Harper Center,C02
Winter 2025,Managerial Decision Modeling,36106,81,Evening MBA,Burhaneddin Sandikci,"Monday, 6:00 PM - 9:00 PM",31/45,Gleacher Center,208
Winter 2025,Managerial Decision Modeling,36106,1,Full-Time MBA,Burhaneddin Sandikci,"Monday, 8:30 AM - 11:30 AM",21/45,Harper Center,C05
Spring 2025,Managerial Decision Modeling,36106,1,Full-Time MBA,Philipp Afèche,"Monday, 8:30 AM - 11:30 AM",14/45,Harper Center,C05
Spring 2025,Managerial Decision Modeling,36106,2,Full-Time MBA,Philipp Afèche,"Monday, 1:30 PM - 4:30 PM",31/45,Harper Center,C05
